A00; Cólera
LA22.Y;Outras Anomalias Estruturais Especificadas Do Ouvido Que Causam Comprometimento Auditivo
LA22.Z;Anomalias Estruturais Do Desenvolvimento Da Orelha Causando Comprometimento Auditivo, Não Especificados
LA23;Otocephaly
LA24;Aurícula Acessória
LA2Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Da Orelha
LA2Z;Anomalias Estruturais Do Desenvolvimento Da Orelha, Não Especificada
LA30;Anomalias De Desenvolvimento Estrutural De Dentes E Tecidos Periodontais
LA30.0;Anodontia
LA30.1;Hypodontia
LA30.2;Oligodontia
LA30.3;Hyperdontia
LA30.4;Anormalidades De Tamanho Ou Forma De Dentes
LA30.5;Anomalias Em Reabsorção Ou Perda De Dentes
LA30.50;Primeira Esfoliação Dos Dentes
LA30.51;Exfoliação Tardia Dos Dentes
LA30.5Y;Outras Anomalias Especificadas Na Reabsorção Ou Perda De Dentes
LA30.5Z;Anomalias Em Reabsorção Ou Perda De Dentes, Não Especificados
LA30.6;Amelogênese Imperfecta
LA30.7;Dysplasia Da Dina
LA30.8;Dentinogenesis Imperfectá
LA30.9;Odontogenesis Imperfectá
LA30.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Dentes E Tecidos Periodontais
LA30.Z;Anomalias Estruturais De Desenvolvimento De Dentes E Tecidos Periodontais, Não Especificados
LA31;Anomalias De Desenvolvimento Estrutural De Boca Ou Língua
LA31.0;Macroglossia Congênita
LA31.1;Hipoglósia Ou Aglossia
LA31.2;Ankyloglossia
LA31.3;Macrostomia
LA31.4;Microstomia
LA31.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Boca Ou Língua
-3;Fissuras De Lábio, Alvéolo Ou Paladar
LA40;Lábio Leporino
LA40.0;Cleft Lip, Unilateral
LA40.1;Cleft Lip, Bilateral
LA40.2;Cleft Lip, Median
LA41;Fenda Lábio E Alvéolo
LA41.0;Fenda Lábio E Alvéolo, Unilateral
LA41.1;Cleft Lábio E Alvéolo, Bilateral
LA42;Cleft Palate
LA42.0;Cleft Hard Palate
LA42.1;Cleft Soft Palate
LA42.2;Cleft Uvula
LA4Y;Outras Fissuras Especificadas De Lábio, Alvéolo Ou Paladar
LA4Z;Fissuras De Lábio, Alvéolo Ou Paladar, Não Especificados
LA50;Incompetência Velofaríngea Congênita
LA51;Fendas Faciais
LA52;Assimetria Facial
LA53;Macrocheilia
LA54;Microcheilia
LA55;Facies De Compressão
LA56;Síndrome De Pierre Robin
LA5Y;Outras Anomalias Estruturais Especificadas Do Rosto, Boca Ou Dentes
LA5Z;Anomalias Estruturais Do Rosto, Boca Ou Dentes, Não Especificados
LA60;Pescoço Alado
LA61;Tumor Esternomastóide Congênito
LA62;Torticollis Congênito
LA6Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Pescoço
LA6Z;Anomalias Estruturais Do Desenvolvimento Do Pescoço, Não Especificadas
LA70;Anomalias De Desenvolvimento Estrutural Do Nariz Ou Cavo
LA70.0;Arrhinia
LA70.1;Nariz Bífido
LA70.2;Atresia Choanal
LA70.3;Septo Nasal Perfurado Congênito
LA70.Y;Outras Anomalias Estruturais Especificadas Do Nariz Ou Cavum
LA70.Z;Anomalias De Desenvolvimento Estrutural Do Nariz Ou Cavo, Não Especificados
LA71;Anomalias Estruturais De Desenvolvimento Da Laringe
LA71.0;Laringomalácia Congênita
LA71.1;Laringocele
LA71.2;Hipoplasia Laríngea
LA71.3;Estenose Subglótica Congênita
LA71.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Laringe
LA71.Z;Anomalias Estruturais De Desenvolvimento De Laringe, Não Especificadas
LA72;Cleft Laringotraceooosophageal
LA73;Anomalias De Desenvolvimento Estrutural De Traquéia
LA73.0;Estenose Congênita De Traquéia
LA73.1;Traqueomalácia Congênita
LA73.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Traquéia
LA73.Z;Anomalias Estruturais De Traqueia, Não Especificadas
LA74;Anomalias Estruturais De Desenvolvimento De Brônquios
LA74.0;Estenose Congênita Ou Atresia Do Brônquio
LA74.1;Bronchomalácia Congênita
LA74.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Brônquios
LA74.Z;Anomalias De Desenvolvimento Estrutural De Brônquios, Não Especificados
LA75;Anomalias Estruturais De Pulmões De Pulmões
LA75.0;Lobo Acessório De Pulmão
LA75.1;Agenesia De Pulmão
LA75.2;Hipoplasia Congênita Do Pulmão
LA75.3;Hiperplasia Congênita Do Pulmão
LA75.4;Malformações Das Vias Aéreas Pulmonares Congênitas
LA75.5;Enfisema Congênita Do Lobo
LA75.6;Sequestro Congênito Do Pulmão
LA75.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Pulmões
LA75.Z;Anomalias Estruturais De Pulmões, Não Especificadas
LA76;Anomalias De Desenvolvimento Estrutural De Pleura
LA77;Cisto Congênito Do Mediastin
LA7Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Sistema Respiratório
LA7Z;Anomalias Estruturais Do Sistema Respiratório, Não Especificadas
LA80;Orientação De Posição Anômala Do Coração
LA80.0;Laevocardia
LA80.1;Dextrocardia
LA80.2;Mesocardia
LA80.3;Coração Extratorácico
LA80.Y;Outras Orientações Sobre A Posição Anômala Especificada Do Coração
LA80.Z;Orientação De Posição Anômala Do Coração, Não Especificada
LA81;Relacionamentos Ventriculares Anormais
LA82;Imagens De Espelho Total
LA83;Isomerismo Certo
LA84;Isomerismo Esquerdo
LA85;Anomalia Congênita De Uma Conexão Atrioventricular Ou Ventriculoarterial
LA85.0;Conexões Atrioventriculares Discordantes
LA85.00;Transposição Congenitamente Corrigida De Grandes Artérias
LA85.0Y;Outras Conexões Atrioventriculares Discordantes Especificadas
LA85.0Z;Conexões Atrioventriculares Discordantes, Não Especificadas
LA85.1;Transposição Das Grandes Artérias
LA85.2;Ventrículo Direito De Saída Dupla
LA85.20;Ventrículo Direito De Saída Dupla Com Defeito De Septo Ventricular Subpulmonar, Tipo De Transposição
LA85.21;Ventrículo Direito De Saída Dupla Com Defeito Septal Ventricular Não Comprometido
LA85.22;Ventrículo Direito De Saída Dupla Com Defeito Ventricular Subaortico Ou Duplamente Cometido Sem Estenose Pulmonar, Tipo De Defeito Septal Ventricular
LA85.23;Ventrículo Direito De Saída Dupla Com Defeito Ventricular Subaortico Ou Duplamente Cometido E Estenose Pulmonar, Tipo Fallot
LA85.2Y;Outros O Ventrículo Direito De Saída Dupla Especificado
LA85.2Z;Ventrículo Direito De Saída Dupla, Não Especificado
LA85.3;Ventrículo Esquerdo Da Tomada
LA85.4;Tronco Arterial Comum
LA85.40;Tronco Arterial Comum Com Dominância Aórtica
LA85.41;Tronco Arterial Comum Com Domínio Pulmonar E Arco Aórtico Interrompido
LA85.4Y;Outros Troncos Arteriais Comuns Especificados
LA85.4Z;Tronco Arterial Comum, Não Especificado
LA85.Y;Outras Anomalias Congênitas Especificadas De Uma Conexão Atrioventricular Ou Ventriculoarterial
LA85.Z;Anomalia Congênita De Uma Conexão Atrioventricular Ou Ventriculoarterial, Não Especificada
LA86;Anomalia Congênita Da Veia Mediastinal
LA86.0;Veia De Caval Superior Esquerda
LA86.1;Sinus Coronariano Unrofed
LA86.2;Conexão Venosa Pulmonar Anômala
LA86.20;Conexão Venosa Pulmonar Anomalosa Total
LA86.21;Conexão Venosa Pulmonar Anômala Parcial
LA86.22;Síndrome De Scimitar
LA86.2Y;Outras Conexão Venosa Pulmonar Anômalas Especificadas
LA86.2Z;Conexão Venosa Pulmonar Anomalosa, Não Especificada
LA86.3;Estenose Venosa Pulmonar Congênita Ou Hipoplasia
LA86.Y;Outras Anomalias Congênitas Especificadas Da Veia Mediastinal
LA86.Z;Anomalia Congênita Da Veia Mediastinal, Não Especificada
LA87;Anomalia Congênita De Uma Válvula Atrioventricular Ou Septo Atrioventricular
LA87.0;Anomalia Congênita Da Válvula Tricúspide
LA87.00;Regurgitação Tricúspide Congênita
LA87.01;Estenose Valvar Tricuspid Congênita
LA87.02;Displasia Da Válvula Tricuspide
LA87.03;Malformação Ebstein Da Válvula Tricuspide
LA87.0Y;Outras Anomalias Congênitas Especificadas Da Válvula Tricúspide
LA87.0Z;Anomalia Congênita Da Válvula Tricúspide, Não Especificada
LA87.1;Anomalia Congênita Da Válvula Mitral
LA87.10;Regurgitação Mitral Congênita
LA87.11;Estenose Valvar Mitral Congênita
LA87.12;Displasia Da Válvula Mitral
LA87.13;Anomalia Congênita Do Aparelho Subvalvar Mitral
LA87.1Y;Outras Anomalias Congênitas Especificadas Da Válvula Mitral
LA87.1Z;Anomalia Congênita Da Válvula Mitral, Não Especificada
LA87.3;Junção Atrioventricular Comum Sem Um Defeito Septal Atrioventricular
LA87.4;Junção Atrioventricular Comum Com Defeito Septal Atrioventricular
LA87.40;Defeito De Septo Atrioventricular Com Comunicação Apenas No Nível Atrial
LA87.41;Defeito De Septo Atrioventricular Com Comunicação Apenas No Nível Ventricular
LA87.42;Defeito Septal Atrioventricular Com Comunicação No Nível Atrial E Comunicação Restritiva No Nível Ventricular
LA87.43;Defeito Septal Atrioventricular Com Comunicação No Nível Atrial E Comunicação Irrestrita No Nível Ventricular
LA87.44;Defeito Septal Atrioventricular Com Desequilíbrio Ventricular
LA87.45;Defeito De Septo Atrioventricular E Tetralogia De Fallot
LA87.4Y;Outros Junção Atrioventricular Comum Especificada Com Defeito Septal Atrioventricular
LA87.4Z;Junção Atrioventricular Comum Com Defeito Septal Atrioventricular, Não Especificado
LA87.Y;Outras Anomalias Congênitas Especificadas De Uma Válvula Atrioventricular Ou Septo Atrioventricular
LA87.Z;Anomalia Congênita De Uma Válvula Atrioventricular Ou Septo Atrioventricular, Não Especificado
LA88;Anomalia Congênita De Um Ventrículo Ou O Septo Ventricular
LA88.0;Obstrução Do Trato De Fluxo Ventricular Direito Congênito
LA88.1;Ventrículo Direito De Câmara Dupla
LA88.2;Tetralogia De Fallot
LA88.20;Tetralogia De Fallot Com Síndrome De Vala Pulmonar Ausente
LA88.21;Tetralogia De Fallot Com Atresia Pulmonar
LA88.22;Tetralogia De Fallot Com Atresia Pulmonar E Artéria Colateral Sistêmicoapulmonar
LA88.2Y;Outras Tetralogia Especificadas De Fallot
LA88.2Z;Tetralogia De Fallt, Não Especificada
LA88.3;Obstrução Congênita Do Trato Do Fluxo Do Ventrículo Esquerdo
LA88.4;Defeito Do Septo Ventricular
LA88.40;Defeito De Septo Ventricular Muscular Trabecular
LA88.41;Perimembranous Ventricular Central Septal Defeito
LA88.42;Defeito Septal Ventricular Haemodinamicamente Insignificante
LA88.4Y;Outros Defeitos De Septo Ventricular Especificados
LA88.4Z;Defeito De Septo Ventricular, Não Especificado
LA88.Y;Outras Anomalias Congênitas Especificadas De Um Ventrículo Ou O Septo Ventricular
LA88.Z;Anomalia Congênita De Um Ventrículo Ou O Septo Ventricular, Não Especificado
LA89;Coração Funcionalmente Univentricular
LA89.0;Conexão Atrioventricular De Entrada Dupla
LA89.1;Atresia Tricúspide
LA89.2;Atresia Mitral
LA89.3;Síndrome Do Coração Esquerda Hipoplásica
LA89.Y;Outros Coração Funcionalmente Especificamente Univentricular
LA89.Z;Coração Funcionalmente Univentricular, Não Especificado
LA8A;Anomalia Congênita De Uma Válvula De Ventrículoarterial Ou Regiões Adjacentes
LA8A.0;Anomalia Congênita Da Válvula Pulmonar
LA8A.00;Estenose Valvar Pulmonar Congênita
LA8A.01;Regurgitação Pulmonar Congênita
LA8A.0Y;Outras Anomalias Congênitas Especificadas Da Válvula Pulmonar
LA8A.0Z;Anomalia Congênita Da Válvula Pulmonar, Não Especificada
LA8A.1;Atresia Pulmonar Congênita
LA8A.10;Atresia Pulmonar Com Septo Ventricular Intacto
LA8A.1Y;Outras Atresia Pulmonar Congênita Especificadas
LA8A.1Z;Atresia Pulmonar Congênita, Não Especificada
LA8A.2;Anomalia Congênita Da Válvula Aórtica
LA8A.20;Estenose Valvar Aórtica Congênita
LA8A.21;Regurgitação Aórtica Congênita
LA8A.22;Válvula Aórtica Bicúspide
LA8A.23;Aortic Valvar Atresia
LA8A.24;Válvula Aórtica Unicuspid
LA8A.2Y;Outras Anomalias Congênitas Especificadas Da Válvula Aórtica
LA8A.2Z;Anomalia Congênita Da Válvula Aórtica, Não Especificada
LA8A.3;Estenose Aórtica Supravalvar Congênita
LA8A.4;Aneurisma Do Seio Aórtico De Valsalva
LA8A.5;Estenose Subaortica Congênita
LA8A.6;Estenose Subpulmonar Congênita
LA8A.Y;Outras Anomalias Congênitas Especificadas De Uma Válvula De Ventrículoarterial Ou Regiões Adjacentes
LA8A.Z;Anomalia Congênita De Uma Válvula De Ventrículoarterial Ou Regiões Adjacentes, Não Especificadas
LA8B;Anomalia Congênita De Grandes Artérias, Incluindo O Duto Arterial
LA8B.0;Janela Aortopulmonar Congênita
LA8B.1;Anomalia Congênita Da Árvore Arterial Pulmonar
LA8B.2;Anomalia Congênita Da Aorta Ou De Seus Ramos
LA8B.21;Coarctation Of Aorta
LA8B.22;Arco Aórtico Interrompido
LA8B.23;Anomalia Congênita De Aorta Torácica Ou Abdominal Descendente
LA8B.24;Anomalia Congênita Do Ramo De Arco Aórtico
LA8B.2Y;Outras Anomalias Congênitas Especificadas Da Aorta Ou Seus Ramos
LA8B.2Z;Anomalia Congênita Da Aorta Ou De Seus Ramos, Não Especificados
LA8B.3;Síndrome De Compressiva Traqueooesophageal
LA8B.4;Duto Arterial De Patente
LA8B.Y;Outras Anomalias Congênitas Especificadas De Grandes Artérias, Incluindo O Duto Arterial
LA8B.Z;Anomalia Congênita De Grandes Artérias, Incluindo Ducto Arterial, Não Especificado
LA8C;Anomalia Congênita Da Artéria Coronária
LA8C.0;Origem Anômala Da Artéria Coronariana Da Árvore Arterial Pulmonar
LA8C.1;Origem Aórtica Anômala Ou Curso De Artéria Coronária
LA8C.2;Fístula Arterial Coronariana Congênita
LA8C.Y;Outras Anomalias Congênitas Especificadas Da Artéria Coronária
LA8C.Z;Anomalia Congênita Da Artéria Coronariana, Não Especificada
LA8D;Anomalia Pericárdica Congênita
LA8E;Anomalia Congênita Do Septo Atrial
LA8E.0;Foramen Oval De Patente
LA8E.1;Defeito Septal Atrial Dentro Da Fossa Oval
LA8E.2;Defeito Sinus Venoso
LA8E.3;Comunicação Interatrial Através Do Orifício Sinus Coronariano
LA8E.Y;Outras Anomalias Congênitas Especificadas Do Septo Atrial
LA8E.Z;Anomalia Congênita Do Septo Atrial, Não Especificados
LA8F;Anomalia Congênita Do Átrio Direito
LA8G;Anomalia Congênita Do Átrio Esquerdo
LA8G.0;Átrium Esquerdo Dividido
LA8G.Y;Outras Anomalias Congênitas Especificadas Do Átrio Esquerdo
LA8G.Z;Anomalia Congênita Do Átrio Esquerdo, Não Especificado
LA8Y;Outras Anomalias Estruturais Especificadas De Coração Ou Grandes Vasos
LA8Z;Anomalia De Desenvolvimento Estrutural De Coração Ou Grandes Embarcações, Não Especificadas
LA90;Anomalias Estruturais Do Desenvolvimento Do Sistema Vascular Periférico
LA90.0;Malformações Capilares
LA90.00;Telangiectasia Hemorrágica Hereditária
LA90.0Y;Outras Malformações Capilares Especificadas
LA90.0Z;Malformações Capilares, Não Especificadas
LA90.1;Malformações Linfáticas
LA90.10;Malformação Linfática Macrocistica
LA90.11;Malformação Linfática Microcistica
LA90.12;Malformações Linfáticas De Determinados Sites Especificados
LA90.13;Hygroma Cístico No Feto
LA90.1Y;Outras Malformações Linfáticas Especificadas
LA90.1Z;Malformações Linfáticas, Não Especificadas
LA90.2;Malformações Venoso Periféricas
LA90.20;Veia De Galen Aneurisma
LA90.21;Conexão Venosa Portal Anômala
LA90.2Y;Outras Malformações Venoso Periféricas Especificadas
LA90.2Z;Malformações Venoso Periféricas, Não Especificadas
LA90.3;Malformações Arteriovenos Periféricas
LA90.30;Fístula De Artéria Hepática Portal
LA90.31;Malformação Arteriovenosa De Vasos Precebrais
LA90.32;Malformações Arteriovenos Uterinas
LA90.3Y;Outras Malformações Arteriovenos Periféricas Especificadas
LA90.3Z;Malformações Arteriovenos Periféricas, Não Especificadas
LA90.4;Malformações Arteriais Periféricas
LA90.40;Estenose De Artéria Renal Congênita
LA90.41;Aneurisma Não Interrompido Préfinanciado Congênito
LA90.42;Aneurisma Não Interrompido Cerebral Congênito
LA90.4Y;Outras Malformações Arteriais Periféricas Especificadas
LA90.4Z;Malformações Arteriais Periféricas, Não Especificadas
LA90.5;Fístula Arteriovenosa Pulmonar
LA90.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Sistema Vascular Periférico
LA90.Z;Anomalias De Desenvolvimento Estrutural Do Sistema Vascular Periférico, Não Especificados
LA9Y;Outras Anomalias Estruturais Especificadas Do Sistema Circulatório
LA9Z;Anomalias Estruturais Do Sistema Circulante, Não Especificadas
LB00;Anomalias De Desenvolvimento Estrutural De Diafragma
LB00.0;Hérnia Diafragmática Congênita
LB00.1;Ausência De Diafragma
LB00.Y;Outras Anomalias De Desenvolvimento Estruturais Especificadas De Diafragma
LB00.Z;Anomalias Estruturais Do Diafragma, Não Especificadas
LB01;Omfalocele
LB02;Gastroschisis
LB03;Anomalias Estruturais Do Desenvolvimento Do Cordão Umbilical
LB03.0;Remanescentes Ou Cistos Alantóicos Do Duto
LB03.1;Artéria De Cordão Umbilical Único
LB03.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Cordão Umbilical
LB03.Z;Anomalias De Desenvolvimento Estrutural De Cabo Umbilical, Não Especificados
LB0Y;Outras Anomalias Estruturais Especificadas Do Diafragma, Parede Abdominal Ou Cordão Umbilical
LB0Z;Anomalias Estruturais Do Desenvolvimento Do Diafragma, Parede Abdominal Ou Cabo Umbilical, Não Especificados
LB10;Anomalias Estruturais De Desenvolvimento De Glândulas Salivares Ou Dutos
LB11;Divertículo Congênito De Faringe
LB12;Anomalias Estruturais Do Esôfago
LB12.0;Web Esofágica Congênita Ou Anel
LB12.1;Atresia Do Esôfago
LB12.10;Atresia De Esôfago Com Fístula Esofagarônica
LB12.1Y;Outros Atresia Especificados De Esôfago
LB12.2;Fístula Esofágica Sem Atresia
LB12.3;Estenose Congênita Ou Estritura De Esôfago
LB12.4;Divertículo Congênito De Esôfago
LB12.5;Dilatação Congênita Do Esôfago
LB12.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Esôfago
LB12.Z;Anomalias Estruturais De Esôfago, Não Especificadas
LB13;Anomalias De Desenvolvimento Estrutural Do Estômago
LB13.0;Estenose Pilórica Hipertrófica Congênita
LB13.1;Hiatus Hérnia Congênita
LB13.2;Web Antral Congênita
LB13.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Estômago
LB13.Z;Anomalias De Desenvolvimento Estrutural Do Estômago, Não Especificados
LB14;Anomalias Estruturais Do Desenvolvimento De Duodenum
LB15;Anomalias Estruturais Do Desenvolvimento Do Intestino Delgado
LB15.0;Divertículo Meckel
LB15.1;Atresia Do Intestino Delgado
LB15.2;Intestino Curto Congênito
LB15.3;Diverticulite Congênita De Intestino Delgado
LB15.4;Diverticulose Congênita De Intestino Delgado
LB15.5;Divertículo Congênito De Intestino Delgado
LB15.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Intestino Delgado
LB15.Z;Anomalias Estruturais De Desenvolvimento De Intestino Delgado, Não Especificados
LB16;Anomalias Estruturais De Desenvolvimento De Intestino Grosso
LB16.0;Ausência Congênita, Atresia Ou Estenose Do Intestino Grosso
LB16.1;Doença Hirschsprung
LB16.2;Ganglionose Imatura De Intestino Grosso
LB16.3;Hipoganglionose Congênita De Intestino Grosso
LB16.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Intestino Grosso
LB16.Z;Anomalias Estruturais De Desenvolvimento De Intestino Grande, Não Especificado
LB17;Anomalias Estruturais Do Desenvolvimento Do Canal Anal
LB17.0;Malformações Anorretais
LB17.1;Ânus Ectópico
LB17.2;Cloaca Persistente
LB17.3;Exstrofia Cloacal
LB17.4;Groove Perineal
LB17.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Canal Anal
LB17.Z;Anomalias Estruturais Do Desenvolvimento Do Canal Anal, Não Especificados
LB18;Anomalias Congênitas Da Fixação Intestinal
LB1Y;Outras Anomalias De Desenvolvimento Estruturais Especificadas Do Trato Digestivo
LB1Z;Anomalias Estruturais Do Desenvolvimento Do Trato Digestivo, Não Especificados
LB20;Anomalias Estruturais De Desenvolvimento Da Vesícula Biliar, Ductos Ou Fígados Biliares
LB20.0;Anomalias Estruturais Do Fígado
LB20.00;Doença Hepática Fibrolycystic
LB20.0Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Fígado
LB20.0Z;Anomalias Estruturais Do Fígado, Não Especificadas
LB20.1;Anomalias Estruturais De Desenvolvimento Da Vesícula Biliar
LB20.10;Agenese, Aplasia Ou Hipoplasia Da Vesícula Biliar
LB20.1Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Da Vesícula Biliar
LB20.1Z;Anomalias Estruturais De Desenvolvimento Da Vesícula Biliar, Não Especificada
LB20.2;Anomalias De Desenvolvimento Estruturais De Dutos Bile
LB20.20;Cisto De Choledochal
LB20.21;Atresia Biliar
LB20.22;Estenose Congênita Ou Restrição De Dutos Biliares
LB20.23;Anomalias Estruturais Do Duct Cístico
LB20.24;Duct Bile Acessório
LB20.2Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Dutos Biliares
LB20.2Z;Anomalias De Desenvolvimento Estrutural De Dutos Biliares, Não Especificados
LB20.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Da Vesícula Biliar, Ductos Ou Fígados
LB20.Z;Anomalias De Desenvolvimento Estrutural Da Vesícula Biliar, Dutos Biliares Ou Fígado, Não Especificados
LB21;Anomalias Estruturais Do Pâncreas
LB21.0;Pâncreas Anular
LB21.1;Pâncreas Divisum
LB21.2;Pâncreas Acessórias
LB21.3;Ageneseaplasia Do Pâncreas
LB21.4;Agenesia Parcial Do Pâncreas
LB21.5;Hipoplasia Do Pâncreas
LB21.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Pâncreas
LB21.Z;Anomalias Estruturais Do Pâncreas, Não Especificadas
LB22;Anomalias De Desenvolvimento Estruturais De Bordamento
LB22.0;Asplenia Congênita
LB22.1;Polysplenia
LB22.2;Baço Ectópico
LB22.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Baço
LB22.Z;Anomalias Estruturais Do Baço, Não Especificadas
LB2Y;Outras Anomalias Estruturais Especificadas Do Fígado, Trato Biliar, Pâncreas Ou Baço
LB2Z;Anomalias Estruturais Do Fígado, Trato Biliar, Pâncreas Ou Baço, Não Especificados
LB30;Anomalias Estruturais De Desenvolvimento De Rins
LB30.0;Agenesia Renal Ou Outros Defeitos De Redução Do Rim
LB30.00;Agenese Renal
LB30.0Y;Outros Agenese Renal Especificados Ou Outros Defeitos De Redução Do Rim
LB30.0Z;Agenese Renal Ou Outros Defeitos De Redução Do Rim, Não Especificados
LB30.1;Dysplasia Renal
LB30.2;Cisto Renal Único Congênito
LB30.3;Dissese Tubular Renal
LB30.4;Oligomeganoplasia
LB30.5;Rim Acessório
LB30.6;Anomalia De Fusão De Rins
LB30.60;Rim Lobulado
LB30.61;Rim Pélvico Fundido
LB30.62;Ferradura Rim
LB30.6Y;Outras Anomalias De Fusão Especificadas De Rins
LB30.6Z;Anomalia De Fusão De Rins, Não Especificados
LB30.7;Rim Ectópico Ou Pélvico
LB30.8;Rim De Esponja Medular
LB30.9;Dysplasia Renal Multicstic
LB30.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Rins
LB30.Z;Anomalias Estruturais De Desenvolvimento De Rins, Não Especificados
LB31;Anomalias De Desenvolvimento Estrutural Do Trato Urinário
LB31.0;Hidronefrose Congênita
LB31.1;Megaureter Primário Congênito
LB31.2;Obstrução Do Trato Urinário Inferior Fetal
LB31.3;Exstrofia Da Bexiga Urinária
LB31.4;Divertículo Congênito Da Bexiga Urinária
LB31.5;Duplicação Da Uretra
LB31.6;Megalourethra Congênita
LB31.7;Megacystismegaureter
LB31.8;Atresia Ou Estenose Do Ureter
LB31.9;Agenesia Do Ureter
LB31.A;Duplicação Do Ueter
LB31.B;Malposition Do Ureter
LB31.C;Ausência Congênita De Bexiga Ou Uretra
LB31.D;Refluxo Congênito Vesicoureterorenal
LB31.Y;Outras Anomalias De Desenvolvimento Estruturais Especificadas Do Trato Urinário
LB31.Z;Anomalias Estruturais Do Trato Urinário, Não Especificados
LB3Y;Outras Anomalias Estruturais Especificadas Do Sistema Urinário
LB3Z;Anomalias Estruturais Do Sistema Urinário, Não Especificadas
LB40;Anomalias Estruturais De Desenvolvimento Da Vulva
LB40.0;Ausência De Vulva
LB40.1;Cisto Embrionário De Vulva
LB40.2;Fusão De Labia
LB40.Y;Outras Anomalias De Desenvolvimento Estruturais Especificadas Da Vulva
LB40.Z;Anomalias Estruturais De Desenvolvimento Da Vulva, Não Especificadas
LB41;Anomalias Estruturais Do Clitóris
LB41.0;Agenesis De Clitóris
LB41.1;Duplicação De Clitóris
LB41.2;Clitoromegalia
LB41.Y;Outras Anomalias De Desenvolvimento Estruturais Especificadas De Clitóris
LB41.Z;Anomalias De Desenvolvimento Estrutural De Clitóris, Não Especificados
LB42;Anomalias Estruturais De Desenvolvimento Da Vagina
LB42.0;Ausência De Vagina
LB42.1;Vagina Setta
LB42.2;Fístula Retovaginal Congênita
LB42.3;Anel Hymenal Apertado
LB42.4;Hímen Imperfurável
LB42.5;Estritor Ou Atresia Da Vagina
LB42.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Da Vagina
LB42.Z;Anomalias Estruturais De Desenvolvimento Da Vagina, Não Especificadas
LB43;Anomalias Estruturais Do Desenvolvimento Do Cervix Uteri
LB43.0;Cisto Embrionário Do Cervix
LB43.1;Agenese Ou Aplasia Do Cervix
LB43.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Cervix Uteri
LB43.Z;Anomalias De Desenvolvimento Estruturais Do Cervix Uteri, Não Especificados
LB44;Anomalias Estruturais De Desenvolvimento Do Útero, Exceto O Cervix
LB44.0;Agenesia Ou Aplasia Do Corpo Uterino
LB44.1;Hipoplasia Do Útero
LB44.2;Útero Unicornado
LB44.3;Útero Bicornado
LB44.4;Útero Setente
LB44.5;Fístulas Congênitas Entre Útero E Trechos Digestivos E Urinários
LB44.6;Malformação Uterovaginal Devido À Síndrome De Dietilstilbestrol
LB44.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Útero, Exceto O Cervix
LB44.Z;Anomalias De Desenvolvimento Estrutural Do Útero, Exceto O Colo Do Útero, Não Especificados
LB45;Anomalias Estruturais De Desenvolvimento De Ovários, Tubos De Falópio Ou Ligamentos Largos
LB45.0;Ausência Congênita De Ovário
LB45.1;46, Dysenesis Gonadal Xx
LB45.2;Cisto Ovariano De Desenvolvimento
LB45.3;Torção Congênita Do Ovário
LB45.4;Ovário Acessório
LB45.5;Ausência Congênita De Tubo De Falópio
LB45.6;Atresia Do Tubo De Falópio
LB45.7;Tubo De Falópio Acessório
LB45.8;Cisto Embrionário Do Tubo De Falópio
LB45.9;Cisto Embrionário De Ligamento Amplo
LB45.Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas De Ovários, Tubos De Falópio Ou Amplos Ligamentos
LB45.Z;Anomalias Estruturais De Desenvolvimento De Ovários, Tubos De Falópio Ou Ligamentos Largos, Não Especificados
LB4Y;Outras Anomalias De Desenvolvimento Estrutural Especificadas Do Sistema Genital Feminino
LB4Z;Anomalias Estruturais Do Desenvolvimento Do Sistema Genital Feminino, Não Especificados
LB50;Micropenis Ou Agênese Do Pênis
LB51;Anorquia Ou Microorchidia
